time,step,step_label,samples_label,episodes_label,epoch,loss,grad_norm,lr,update_s,data_s
2026-06-18 03:28:35,200,200,6K,107,0.02,5.432,90.983,1e-05,0.07,0.135
2026-06-18 03:29:11,400,400,13K,214,0.05,2.178,41.012,1e-05,0.064,0.113
2026-06-18 03:29:49,600,600,19K,320,0.07,1.765,36.642,1e-05,0.064,0.125
2026-06-18 03:30:25,800,800,26K,427,0.1,1.487,32.702,1e-05,0.067,0.111
2026-06-18 03:31:03,1000,1K,32K,534,0.12,1.266,30.529,1e-05,0.068,0.122
2026-06-18 03:31:38,1200,1K,38K,641,0.14,1.086,27.613,1e-05,0.065,0.113
2026-06-18 03:32:17,1400,1K,45K,748,0.17,0.933,26.011,1e-05,0.064,0.126
2026-06-18 03:32:53,1600,2K,51K,855,0.19,0.802,23.414,1e-05,0.066,0.113
2026-06-18 03:33:30,1800,2K,58K,961,0.22,0.692,21.453,1e-05,0.066,0.123
2026-06-18 03:34:06,2000,2K,64K,1K,0.24,0.604,19.551,1e-05,0.067,0.11
2026-06-18 03:34:44,2200,2K,70K,1K,0.26,0.531,17.84,1e-05,0.069,0.118
2026-06-18 03:35:19,2400,2K,77K,1K,0.29,0.476,17.088,1e-05,0.064,0.114
2026-06-18 03:35:57,2600,3K,83K,1K,0.31,0.427,15.577,1e-05,0.065,0.123
2026-06-18 03:36:34,2800,3K,90K,1K,0.33,0.39,14.775,1e-05,0.066,0.115
2026-06-18 03:37:11,3000,3K,96K,2K,0.36,0.36,13.766,1e-05,0.064,0.122
2026-06-18 03:37:47,3200,3K,102K,2K,0.38,0.335,12.741,1e-05,0.065,0.113
2026-06-18 03:38:24,3400,3K,109K,2K,0.41,0.316,12.054,1e-05,0.066,0.121
2026-06-18 03:39:00,3600,4K,115K,2K,0.43,0.3,11.663,1e-05,0.066,0.112
2026-06-18 03:39:38,3800,4K,122K,2K,0.45,0.284,10.707,1e-05,0.064,0.124
2026-06-18 03:40:14,4000,4K,128K,2K,0.48,0.272,10.277,1e-05,0.063,0.116
2026-06-18 03:40:51,4200,4K,134K,2K,0.5,0.263,9.869,1e-05,0.072,0.114
2026-06-18 03:41:27,4400,4K,141K,2K,0.53,0.254,9.688,1e-05,0.064,0.113
2026-06-18 03:42:04,4600,5K,147K,2K,0.55,0.25,8.931,1e-05,0.065,0.12
2026-06-18 03:42:39,4800,5K,154K,3K,0.57,0.238,8.801,1e-05,0.063,0.112
2026-06-18 03:43:16,5000,5K,160K,3K,0.6,0.233,8.348,1e-05,0.064,0.121
2026-06-18 03:43:53,5200,5K,166K,3K,0.62,0.229,8.433,1e-05,0.065,0.114
2026-06-18 03:44:30,5400,5K,173K,3K,0.65,0.226,7.94,1e-05,0.067,0.12
2026-06-18 03:45:06,5600,6K,179K,3K,0.67,0.221,7.714,1e-05,0.067,0.112
2026-06-18 03:45:44,5800,6K,186K,3K,0.69,0.213,7.434,1e-05,0.064,0.123
