time,epoch,loss,grdn,lr,updt,data,step_k,log_index,step_est
2026-06-18 14:11:45,0.04,1.262,30.12,1e-05,0.072,0.331,1,1,200
2026-06-18 14:13:04,0.05,1.083,27.792,1e-05,0.07,0.324,1,2,400
2026-06-18 14:14:25,0.06,0.934,26.39,1e-05,0.071,0.333,1,3,600
2026-06-18 14:15:43,0.06,0.804,23.56,1e-05,0.07,0.321,2,4,800
2026-06-18 14:17:05,0.07,0.698,21.846,1e-05,0.075,0.332,2,5,1000
2026-06-18 14:18:23,0.08,0.602,19.439,1e-05,0.07,0.319,2,6,1200
2026-06-18 14:19:45,0.09,0.53,17.941,1e-05,0.072,0.339,2,7,1400
2026-06-18 14:21:03,0.1,0.477,16.991,1e-05,0.069,0.316,2,8,1600
2026-06-18 14:22:26,0.1,0.428,15.41,1e-05,0.07,0.344,3,9,1800
2026-06-18 14:23:43,0.11,0.389,14.512,1e-05,0.071,0.314,3,10,2000
2026-06-18 14:25:05,0.12,0.36,13.507,1e-05,0.074,0.337,3,11,2200
2026-06-18 14:26:22,0.13,0.335,12.621,1e-05,0.073,0.313,3,12,2400
2026-06-18 14:27:45,0.14,0.315,11.975,1e-05,0.071,0.343,3,13,2600
2026-06-18 14:29:03,0.14,0.299,11.566,1e-05,0.071,0.316,4,14,2800
2026-06-18 14:30:25,0.15,0.284,10.733,1e-05,0.073,0.336,4,15,3000
2026-06-18 14:31:43,0.16,0.274,10.292,1e-05,0.072,0.316,4,16,3200
2026-06-18 14:33:05,0.17,0.264,9.778,1e-05,0.073,0.337,4,17,3400
2026-06-18 14:34:25,0.18,0.257,9.578,1e-05,0.072,0.329,4,18,3600
2026-06-18 14:35:49,0.18,0.247,8.936,1e-05,0.072,0.344,5,19,3800
2026-06-18 14:37:07,0.19,0.241,8.971,1e-05,0.071,0.317,5,20,4000
2026-06-18 14:38:29,0.2,0.237,8.257,1e-05,0.074,0.335,5,21,4200
2026-06-18 14:39:47,0.21,0.232,8.306,1e-05,0.072,0.318,5,22,4400
2026-06-18 14:41:11,0.21,0.226,7.812,1e-05,0.069,0.351,5,23,4600
2026-06-18 14:42:30,0.22,0.222,7.518,1e-05,0.073,0.323,6,24,4800
2026-06-18 14:43:52,0.23,0.218,7.372,1e-05,0.073,0.333,6,25,5000
2026-06-18 14:45:12,0.24,0.214,7.247,1e-05,0.073,0.324,6,26,5200
2026-06-18 14:46:33,0.25,0.212,7.085,1e-05,0.071,0.337,6,27,5400
2026-06-18 14:47:51,0.25,0.206,7.051,1e-05,0.074,0.314,6,28,5600
2026-06-18 14:49:14,0.26,0.207,6.632,1e-05,0.071,0.343,7,29,5800
2026-06-18 14:50:31,0.27,0.203,6.589,1e-05,0.069,0.315,7,30,6000
2026-06-18 14:51:52,0.28,0.201,6.27,1e-05,0.072,0.332,7,31,6200
2026-06-18 14:53:09,0.29,0.199,6.209,1e-05,0.075,0.309,7,32,6400
2026-06-18 14:54:30,0.29,0.195,5.978,1e-05,0.076,0.328,7,33,6600
2026-06-18 14:55:47,0.3,0.197,6.152,1e-05,0.074,0.311,8,34,6800
2026-06-18 14:57:10,0.31,0.195,5.731,1e-05,0.07,0.342,8,35,7000
2026-06-18 14:58:30,0.32,0.194,5.793,1e-05,0.071,0.331,8,36,7200
2026-06-18 14:59:52,0.33,0.19,5.329,1e-05,0.067,0.342,8,37,7400
2026-06-18 15:01:08,0.33,0.187,5.339,1e-05,0.07,0.309,8,38,7600
2026-06-18 15:02:29,0.34,0.184,5.125,1e-05,0.072,0.33,9,39,7800
2026-06-18 15:03:44,0.35,0.185,4.984,1e-05,0.078,0.299,9,40,8000
2026-06-18 15:05:06,0.36,0.182,5.058,1e-05,0.07,0.337,9,41,8200
2026-06-18 15:06:22,0.37,0.18,4.806,1e-05,0.071,0.311,9,42,8400
2026-06-18 15:07:44,0.37,0.178,4.663,1e-05,0.071,0.335,9,43,8600
2026-06-18 15:09:02,0.38,0.178,4.576,1e-05,0.071,0.318,10,44,8800
2026-06-18 15:10:22,0.39,0.175,4.55,1e-05,0.076,0.326,10,45,9000
2026-06-18 15:11:42,0.4,0.175,4.187,1e-05,0.07,0.325,10,46,9200
2026-06-18 15:13:03,0.41,0.175,4.206,1e-05,0.072,0.334,10,47,9400
2026-06-18 15:14:23,0.41,0.173,4.033,1e-05,0.071,0.33,10,48,9600
2026-06-18 15:15:44,0.42,0.171,3.857,1e-05,0.073,0.328,11,49,9800
2026-06-18 15:17:02,0.43,0.167,3.719,1e-05,0.074,0.314,11,50,10000
2026-06-18 15:18:23,0.44,0.171,3.487,1e-05,0.07,0.336,11,51,10200
2026-06-18 15:19:39,0.45,0.166,3.401,1e-05,0.072,0.309,11,52,10400
2026-06-18 15:21:02,0.45,0.166,3.217,1e-05,0.074,0.34,11,53,10600
2026-06-18 15:22:18,0.46,0.168,3.003,1e-05,0.077,0.303,12,54,10800
2026-06-18 15:23:40,0.47,0.166,2.877,1e-05,0.071,0.336,12,55,11000
2026-06-18 15:24:57,0.48,0.165,2.77,1e-05,0.069,0.315,12,56,11200
2026-06-18 15:26:18,0.49,0.165,2.743,1e-05,0.07,0.336,12,57,11400
2026-06-18 15:27:35,0.49,0.163,2.698,1e-05,0.072,0.311,12,58,11600
2026-06-18 15:28:57,0.5,0.161,2.627,1e-05,0.071,0.339,13,59,11800
2026-06-18 15:30:14,0.51,0.162,2.632,1e-05,0.07,0.312,13,60,12000
2026-06-18 15:31:36,0.52,0.159,2.572,1e-05,0.071,0.34,13,61,12200
2026-06-18 15:32:53,0.53,0.159,2.493,1e-05,0.072,0.311,13,62,12400
2026-06-18 15:34:15,0.53,0.16,2.498,1e-05,0.07,0.339,13,63,12600
2026-06-18 15:35:32,0.54,0.157,2.457,1e-05,0.068,0.318,14,64,12800
2026-06-18 15:36:55,0.55,0.157,2.393,1e-05,0.071,0.341,14,65,13000
